predicate,count
http://schema.org/description,2909254565
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1653775623
http://wikiba.se/ontology#rank,1519935041
http://www.w3.org/ns/prov#wasDerivedFrom,1162358562
http://www.w3.org/2000/01/rdf-schema#label,844447170
http://www.wikidata.org/prop/P2860,291521016
http://www.wikidata.org/prop/statement/P2860,291520818
http://www.wikidata.org/prop/direct/P2860,291440109
http://www.w3.org/2004/02/skos/core#altLabel,179852304
http://www.wikidata.org/prop/qualifier/P1545,174182296
http://www.wikidata.org/prop/P2093,137837232
http://www.wikidata.org/prop/statement/P2093,137837158
http://www.wikidata.org/prop/direct/P2093,137752803
http://www.wikidata.org/prop/statement/P31,112944429
http://www.wikidata.org/prop/P31,112944428
http://schema.org/dateModified,111447000
http://schema.org/version,111445137
http://www.wikidata.org/prop/direct/P31,109587255
http://wikiba.se/ontology#statements,107256598
http://wikiba.se/ontology#identifiers,106075977
http://wikiba.se/ontology#sitelinks,106075170
http://www.wikidata.org/prop/reference/P248,95859435
http://www.wikidata.org/prop/reference/P813,95538502
http://www.wikidata.org/prop/reference/value/P813,95538492
http://schema.org/isPartOf,89043977
http://schema.org/name,89043977
http://schema.org/inLanguage,89043977
http://schema.org/about,88157298
http://www.wikidata.org/prop/reference/P854,72517812
http://wikiba.se/ontology#quantityUnit,53878812
http://wikiba.se/ontology#quantityAmount,53878812
http://www.wikidata.org/prop/P1476,47769904
http://www.wikidata.org/prop/statement/P1476,47767532
http://www.wikidata.org/prop/direct/P1476,46870940
http://www.wikidata.org/prop/P577,44947250
http://www.wikidata.org/prop/statement/P577,44946882
http://www.wikidata.org/prop/statement/value/P577,44946158
http://www.wikidata.org/prop/direct/P577,44913559
http://www.wikidata.org/prop/P1433,41999594
http://www.wikidata.org/prop/statement/P1433,41999565
http://www.wikidata.org/prop/direct/P1433,41994366
http://wikiba.se/ontology#quantityNormalized,37175408
http://www.wikidata.org/prop/P304,36660877
http://www.wikidata.org/prop/statement/P304,36660868
http://www.wikidata.org/prop/direct/P304,36660677
http://www.wikidata.org/prop/P478,36580504
http://www.wikidata.org/prop/statement/P478,36580495
http://www.wikidata.org/prop/direct/P478,36580390
http://www.wikidata.org/prop/P433,35432928
http://www.wikidata.org/prop/statement/P433,35432922
http://www.wikidata.org/prop/direct/P433,35432906
http://wikiba.se/ontology#grammaticalFeature,34394396
http://www.wikidata.org/prop/statement/P1215,33145327
http://www.wikidata.org/prop/P1215,33145327
http://www.wikidata.org/prop/statement/value/P1215,33145325
http://www.wikidata.org/prop/qualifier/P1227,33145234
http://www.wikidata.org/prop/reference/P698,32275721
