{{Infobox 
| Major depressive disorder   Major depressive disorder 
| Other names   Clinical depression, major depression, unipolar depression, unipolar disorder, recurrent depression 
| Sorrowing Old Man (At Eternity's Gate)by Vincent van Gogh (1890)   Sorrowing Old Man (At Eternity's Gate)by Vincent van Gogh (1890) 
| Specialty   Psychiatry,clinical psychology 
| Symptoms   Low mood, lowself-esteem,loss of interestin normally enjoyable activities,low energy,painwithout a clear cause 1  
| Complications   Self-harm,suicide 2  
| Usual onset   In one's 20s 3  4  
| Duration     2 weeks 1  
| Causes   Environmental (adverse life experiences, stressful life events),geneticand psychological factors 5  
| Risk factors   Family history, major life changes, certainmedications,chronic health problems,substance use disorder 1  5  
| Differential diagnosis   Bipolar disorder,ADHD,sadness 6  
| Treatment   Psychotherapy,antidepressant medication,electroconvulsive therapy,transcranial magnetic stimulation,exercise 1  7  
| Medication   Antidepressants 
| Frequency   163 million (2017) 8  
}}
