{{Infobox 
| Firestar   Firestar 
| Firestar  4 (June 1986).Art by Barry Windsor-Smith.   Firestar  4 (June 1986).Art by Barry Windsor-Smith. 
| Publication information   Publication information 
| Publisher   Marvel Comics 
| First appearance   Spider-Man and His Amazing Friends"The Triumph of the Green Goblin (September 12, 1981)" 
| First comic appearance   Spider-Man and His Amazing Friends 1(December 1981) (non-canon)Uncanny X-Men 193 (May 1985) (first canon appearance) 
| Created by   Dennis MarksDan SpiegleChristy MarxJohn Romita Sr.Rick Hoberg 1  
| In-story information   In-story information 
| Alter ego   Angelica "Angel" Jones 
| Species   Human mutant 
| Team affiliations   AvengersHellionsNew WarriorsOrchis 2 The 198X-MenYoung Allies (Heroic Age) 
| Abilities   Microwave energy:Energy generation and manipulationElectromagnetic signature detectionPsionic disruptionHeat emissionFlight 
}}
